No,Name,Email,Rating,Feedback,Wallet Address,Transaction Hash,Split ID
1,"Alice Mercer","alice.mercer@gmail.com",5,"Splitting bills on-chain is a game changer. Super clean UI!",GBU5P7WFXMDTYE2AZVY7MRNHPJPIVRPTG666X5T44BBS5OJEYQW6G4CL,af27951ffedef50c705ab3b51be3fb425bf0645ffc1408fd931bdd8848c2bfa6,10
2,"Bob Nakamura","bob.nakamura@gmail.com",4,"Works great. Would love a share link for each split group.",GBVKMVZ55YWHFHQMGITMTENZ7SGGDN6BTBHAQVUTYFMVKGNOQF6BBSZG,1db0a6632f04703afcd09d6a8650ab536af71b5ccfeb31d6675b0743e3c58b48,11
3,"Carla Singh","carla.singh@gmail.com",5,"Freighter integration is seamless. Settled a group dinner in 2 min.",GATQPIYIUATW7BYFLZMKZ4A4TLCYIMUBC3TP2RC4JOEAEHKQEPLHUAJB,f1a2a2bb4564b9fe7777c23c1751001a7ec92589b45912c9684bf50d2897d498,12
4,"David Okonkwo","david.okonkwo@gmail.com",4,"Really cool concept. The equal/proportional split modes saved me time.",GAK5APVUXJQIWZJ3SDOUWQGB5JWX6Z2JVJT35DVRZVO7GJAMM3H2VRS5,fabc51e2450cb44c585dfe9b339aab718a04affb84e3a5e02fa96f94680b863c,13
5,"Elena Volkov","elena.volkov@gmail.com",5,"Love the real-time event feed. Watch payments confirm live.",GCQQR4JHEYDP6ER2W642UZNL7HZW7O5O6UTEWR7VKTRP2P4VS7KMVB5Q,1ed3faf48d3146b1571f1d0c1cf12c5c115d150baae9d8e18fb76c6b50f701fd,14
6,"Fatima Al-Rashid","fatima.alrashid@gmail.com",5,"Incredible UX! Setting up a split for my flatmates was effortless.",GCH6WDCR65PUHYZKQG5LOFR4NHNKDTWSG37XXPERCRNCT2ENNLYGAEOS,7a5211daf18ee290c3c9fb2b11c1de5511e3ffdf423314f9d9abbb686f6dd2a6,15
7,"George Petrov","george.petrov@gmail.com",4,"Using this for our startup team lunches. So convenient.",GDRKJE6WKSXZGGMFRLDQ2YK6P6BT4UF66YMQPUTLO5NIOWVBMZDQPEBV,d3efedfd1a569fc6bae71f9cce13dead99f88796bba49327f8bad79646985871,16
8,"Hana Yamamoto","hana.yamamoto@gmail.com",5,"Love that it is on-chain. No trust issues in the group anymore!",GDF4UPAA3RISRVXC662QTCWEREB32NNQYCFRLOGBK4NA4IKCEVDYFE3K,7ad71d22e85502d83286358392a2f09ca99db63e8f4f3092dd3ce5518aaf078d,17
9,"Ivan Kozlov","ivan.kozlov@gmail.com",4,"Great for travel expenses. Proportional shares calculation is easy.",GDRIFLXSNEMXR2CANYWVICZ5WBKXEZJ6DKTZ7F566TNDSXUQ66YZZILY,00c09d84827260227f360ac13cdca20119f2a14ce064d55308065e047a37fd8e,18
10,"Jade Williams","jade.williams@gmail.com",5,"The glassmorphic design is stunning. Best dApp UI I have seen.",GAGQGXMN5TO3TMZSKO2J4IHV6ZBOCMMVBTOYJDO6O4JXOX4ZU3BIJRYF,2095e8abaa8c2bafc920c669fedd2ad03384efec89b47f48418f2b3f124bc5f2,19
11,"Kai Tanaka","kai.tanaka@gmail.com",5,"Auto-settlement when everyone pays is genius. Zero manual tracking.",GB3FNETO32THYCE542LJ7I4XSJ7LR5Q6XEVBAJQVLMI3MLHSFRCZ3BU2,59bb31014453caaf5b089c0ba6ad75cdfd74db6dacedefdafa52209d4ff1d7c0,20
